,RespMean_Mean_Frames,HR_Mean_Frames,AOPAMean_Mean_Frames,RR_Mean_Frames,RespMean_Mean_MaxCorr,HR_Mean_MaxCorr,AOPAMean_Mean_MaxCorr,RR_Mean_MaxCorr
e2002,-0.0,-8.0,-168.0,-0.0,7.192041640273966,11.23706620408624,0.029531501751931616,7.159189707175006
e2003,-17.0,-14.0,-65.0,-12.0,1.2530169742066781,22.23717184070381,10.801266784863467,14.537864462270491
e2006,-30.0,-33.0,-77.0,-33.0,3.8892389669338394,11.646319639928171,1.7596913024540772,6.870659704098996
e2007,-25.0,-38.0,-75.0,-35.0,7.925220998835985,18.0110644192024,7.637488660415404,10.124173250757897
e2010,-22.0,-28.0,-65.0,-28.0,4.066563469963454,3.794145824172118,3.181102325359623,2.651428538386072
e2012,-30.0,-38.0,-77.0,-28.0,18.521374343779264,42.83244423630198,4.730655918383845,20.678877716016178
e2013,-27.0,-26.0,-83.0,-25.0,10.883527506818737,14.424520211382823,7.069531064002179,8.335355675723147
e2014,-21.0,-24.0,-40.0,-23.0,11.366321990630198,6.961366020136909,4.84696260344965,3.6912677393857956
