,RespMean_Mean_Frames,HR_Mean_Frames,AOPAMean_Mean_Frames,RR_Mean_Frames,RespMean_Mean_MaxCorr,HR_Mean_MaxCorr,AOPAMean_Mean_MaxCorr,RR_Mean_MaxCorr
e1001,-6.0,-4.0,-3.0,-0.0,2.8033572615404587,11.85465560453094,6.194736809714455,7.415443634893141
e1004,-31.0,-29.0,-74.0,-26.0,5.485220380658207,12.405225225721944,2.034529472564511,7.572583359499016
e1005,-40.0,-16.0,-59.0,-14.0,2.911193370000728,2.497570231703701,1.312523318020541,2.052130439362084
e1009,-32.0,-36.0,-95.0,-33.0,19.734145010373393,19.485140739656092,6.801432645113927,10.948237388784298
e1011,-15.0,-20.0,-31.0,-18.0,7.5703200435682065,5.963445491037683,6.153461538442738,3.933540252427593
e1015,-5.0,-7.0,-81.0,-0.0,6.486324274684413,13.938982478627027,1.7470996977969653,8.859007937622335
