,RespMean_Mean_Frames,HR_Mean_Frames,AOPAMean_Mean_Frames,RR_Mean_Frames,RespMean_Mean_MaxCorr,HR_Mean_MaxCorr,AOPAMean_Mean_MaxCorr,RR_Mean_MaxCorr
l001,-11.0,-9.0,-154.0,-0.0,13.350124392419248,10.54350092484495,1.8672784110285818,7.5468098663201575
l002,-148.0,-148.0,-126.0,-144.0,2.152893044579466,1.8212780852622825,1.8200474623006182,1.4605333821178037
l003,-31.0,-18.0,-29.0,-16.0,17.48674848299868,11.933149955858756,3.8006291627345963,9.255840676226766
l004,-63.0,-68.0,-229.0,-60.0,3.6850826852059906,7.156626872517318,4.245519165458318,4.867517295227804
